Upstate prep current carrier mix and shared PLD data,
,
Row Labels,Sum of Quantity shipped
AACT,10
amazon_shipping_api_v2,4095
dhl_express,6
ESTES,355
fedex,55
FWA,60
FXFE,156
genericlabel,3390
ODFL,70
RDFS,160
SEFL,27
shippo__usps,5415
TFIN,300
ups,23404
wholesale_generic_label,4720
(blank),
Grand Total,42223
,
,
,
,
,
,
,
,S
