metric,value
Volume by Weight,0.9% 1–5 oz; 1.3% 6–10 oz; 0.1% 11–16 oz; 94.0% 1–5 lbs; 2.9% 5+ lbs
Average Package Dimensions,12×6×5 in
Average Daily Shipments,110.2
Total USPS Labels,5959
Average USPS Labels per Day,102.7
Total Shipments,6392
Date Range (Days),58
