Zone,Weight (lb),count,mode,median,mean
7.0,0.125,45,3.87,3.87,3.99
7.0,0.12875,1,3.87,3.87,3.87
7.0,0.133125,1,3.88,3.88,3.88
7.0,0.135,55,3.88,3.88,4.06
7.0,0.1375,1,3.87,3.87,3.87
7.0,0.143125,2,3.87,4.14,4.14
7.0,0.1575,2,3.87,3.87,3.87
7.0,0.16375,2,4.43,4.43,4.43
7.0,0.168125,1,4.43,4.43,4.43
7.0,0.169375,1,3.87,3.87,3.87
7.0,0.1725,1,4.43,4.43,4.43
7.0,0.175,6,3.88,4.15,4.15
7.0,0.1775,1,3.87,3.87,3.87
7.0,0.195,1,4.43,4.43,4.43
7.0,0.199375,1,4.42,4.42,4.42
7.0,0.208125,3,4.43,4.43,4.43
7.0,0.2125,1,3.88,3.88,3.88
7.0,0.215,14,3.88,3.88,4.0
7.0,0.21625,11,3.87,3.88,4.33
7.0,0.216875,2,3.88,4.15,4.15
7.0,0.22125,90,3.88,3.88,4.5
7.0,0.225,76,3.88,3.88,4.04
7.0,0.2325,1,3.88,3.88,3.88
7.0,0.235,6,3.88,3.88,3.97
7.0,0.245,7,3.88,3.88,3.88
7.0,0.250625,1,3.9,3.9,3.9
7.0,0.254375,10,3.89,4.44,6.79
7.0,0.255,1,3.89,3.89,3.89
7.0,0.255625,1,4.45,4.45,4.45
7.0,0.26125,6,3.89,3.89,3.98
7.0,0.265,159,3.89,3.9,5.51
7.0,0.27,9,3.89,4.43,5.72
7.0,0.286875,1,3.9,3.9,3.9
7.0,0.295,1,3.9,3.9,3.9
7.0,0.29625,1,3.9,3.9,3.9
7.0,0.30125,1,4.45,4.45,4.45
7.0,0.305,1,4.44,4.44,4.44
7.0,0.309375,10,3.9,3.9,5.48
7.0,0.32,2,3.89,3.9,3.9
7.0,0.325,3,3.9,3.9,3.9
7.0,0.338125,1,3.9,3.9,3.9
7.0,0.34125,1,4.44,4.44,4.44
7.0,0.35,1,3.9,3.9,3.9
7.0,0.35125,1,3.9,3.9,3.9
7.0,0.358125,1,4.45,4.45,4.45
7.0,0.36875,1,3.89,3.89,3.89
7.0,0.385,6,3.9,3.9,3.99
7.0,0.39,1,3.91,3.91,3.91
7.0,0.404375,1,4.45,4.45,4.45
7.0,0.405,9,3.91,3.91,4.03
7.0,0.413125,1,3.9,3.9,3.9
7.0,0.41625,21,3.91,3.91,3.96
7.0,0.4175,10,3.9,3.91,6.86
7.0,0.42875,1,3.9,3.9,3.9
7.0,0.43,1,3.91,3.91,3.91
7.0,0.445,1,16.44,16.44,16.44
7.0,0.4475,2,3.91,3.91,3.91
7.0,0.450625,22,3.91,3.91,4.7
7.0,0.456875,1,3.91,3.91,3.91
7.0,0.4575,14,3.91,3.91,3.95
7.0,0.46125,219,3.91,3.91,5.35
7.0,0.465625,1,3.9,3.9,3.9
7.0,0.48,12,3.91,3.91,4.05
7.0,0.48375,1,4.46,4.46,4.46
7.0,0.49,2,3.91,3.91,3.91
7.0,0.4925,1,3.91,3.91,3.91
7.0,0.494375,1,4.45,4.45,4.45
7.0,0.49875,1,3.91,3.91,3.91
7.0,0.50125,1,5.18,5.18,5.18
7.0,0.505625,6,5.18,5.18,8.92
7.0,0.514375,8,5.11,5.14,5.21
7.0,0.516875,1,5.18,5.18,5.18
7.0,0.525625,1,5.18,5.18,5.18
7.0,0.53125,34,5.19,5.19,5.28
7.0,0.53625,1,5.18,5.18,5.18
7.0,0.55,1,5.74,5.74,5.74
7.0,0.560625,1,5.18,5.18,5.18
7.0,0.57125,29,5.29,5.29,5.77
7.0,0.579375,1,5.84,5.84,5.84
7.0,0.59,1,5.29,5.29,5.29
7.0,0.595,5,5.28,5.29,5.4
7.0,0.605,1,5.83,5.83,5.83
7.0,0.60875,1,5.29,5.29,5.29
7.0,0.610625,4,5.29,5.29,5.42
7.0,0.61375,2,5.29,5.29,5.29
7.0,0.62,2,5.29,5.51,5.51
7.0,0.63,1,5.93,5.93,5.93
7.0,0.645,1,5.39,5.39,5.39
7.0,0.649375,1,5.39,5.39,5.39
7.0,0.65125,34,5.39,5.39,5.44
7.0,0.6525,1,5.38,5.38,5.38
7.0,0.65625,1,5.38,5.38,5.38
7.0,0.6575,3,5.38,5.38,5.38
7.0,0.66,2,5.39,5.39,5.39
7.0,0.660625,1,5.38,5.38,5.38
7.0,0.68,1,5.38,5.38,5.38
7.0,0.69125,8,5.48,5.48,5.48
7.0,0.69875,5,5.9,5.9,10.37
7.0,0.705,1,5.49,5.49,5.49
7.0,0.715,1,5.49,5.49,5.49
7.0,0.730625,1,5.49,5.49,5.49
7.0,0.75,4,5.48,5.48,5.62
7.0,0.76,1,5.67,5.67,5.67
7.0,0.765,22,5.66,5.66,5.75
7.0,0.77,3,6.08,6.21,6.17
7.0,0.77125,5,5.67,5.67,5.64
7.0,0.81,1,5.66,5.66,5.66
7.0,0.815625,2,5.75,6.02,6.02
7.0,0.81625,24,5.75,5.75,5.87
7.0,0.816875,1,16.44,16.44,16.44
7.0,0.8175,1,5.74,5.74,5.74
7.0,0.85,1,5.75,5.75,5.75
7.0,0.853125,1,5.74,5.74,5.74
7.0,0.86,3,5.74,5.75,5.93
7.0,0.89,2,5.83,5.83,5.83
7.0,0.94,1,5.94,5.94,5.94
7.0,0.955625,1,6.5,6.5,6.5
7.0,0.965,1,16.44,16.44,16.44
7.0,0.983125,1,5.76,5.76,5.76
7.0,0.986875,1,5.95,5.95,5.95
7.0,1.0075,1,8.1,8.1,8.1
7.0,1.01125,1,7.3,7.3,7.3
7.0,1.0125,1,7.3,7.3,7.3
7.0,1.02,2,7.32,7.51,7.51
7.0,1.05,9,7.3,7.3,7.39
7.0,1.12,8,7.3,7.3,7.4
7.0,1.145,1,7.3,7.3,7.3
7.0,1.159375,2,8.1,8.11,8.11
7.0,1.160625,1,7.32,7.32,7.32
7.0,1.2,1,8.12,8.12,8.12
7.0,1.20375,4,8.12,7.72,7.72
7.0,1.20875,1,8.1,8.1,8.1
7.0,1.21625,1,7.32,7.32,7.32
7.0,1.23125,3,7.3,7.32,10.35
7.0,1.24,1,8.1,8.1,8.1
7.0,1.248125,1,8.12,8.12,8.12
7.0,1.27,10,7.32,7.32,7.82
7.0,1.29,1,8.1,8.1,8.1
7.0,1.300625,1,7.3,7.3,7.3
7.0,1.32,1,7.32,7.32,7.32
7.0,1.35,2,7.3,7.71,7.71
7.0,1.353125,3,6.89,7.3,7.17
7.0,1.36,2,7.3,7.3,7.3
7.0,1.36375,45,7.32,7.32,8.3
7.0,1.37,2,7.3,7.5,7.5
7.0,1.395,1,7.3,7.3,7.3
7.0,1.408125,3,7.32,7.71,10.49
7.0,1.53,2,7.32,7.32,7.32
7.0,1.56,1,6.89,6.89,6.89
7.0,1.61625,1,7.32,7.32,7.32
7.0,1.635,1,7.3,7.3,7.3
7.0,1.66125,1,7.32,7.32,7.32
7.0,1.665,8,7.3,7.32,7.51
7.0,1.705,1,7.3,7.3,7.3
7.0,1.94,3,7.3,7.32,7.58
7.0,2.085,2,8.96,9.04,9.04
7.0,2.224375,4,8.96,8.38,6.43
7.0,2.229375,3,8.96,8.96,13.42
7.0,2.26375,2,15.99,15.99,15.99
7.0,2.27,1,20.04,20.04,20.04
7.0,2.314375,1,7.79,7.79,7.79
7.0,2.38,1,8.96,8.96,8.96
7.0,2.683125,1,8.96,8.96,8.96
7.0,4.059375,1,9.47,9.47,9.47
7.0,4.07,1,9.47,9.47,9.47
7.0,4.429375,1,8.24,8.24,8.24
7.0,4.83375,1,9.47,9.47,9.47
7.0,6.49,1,12.05,12.05,12.05
7.0,8.27,1,10.57,10.57,10.57
7.0,8.289375,2,0.0,0.0,0.0
7.0,8.33,1,20.04,20.04,20.04
8.0,0.02,9,4.85,4.85,4.83
8.0,0.025,2,6.05,6.06,6.06
8.0,0.058125,1,4.85,4.85,4.85
8.0,0.065,1,4.85,4.85,4.85
8.0,0.069375,31,4.85,4.85,4.84
8.0,0.075,1,6.06,6.06,6.06
8.0,0.09125,1,4.85,4.85,4.85
8.0,0.109375,1,4.85,4.85,4.85
8.0,0.113125,3,4.85,4.85,4.85
8.0,0.161875,1,4.85,4.85,4.85
8.0,0.215,2,6.07,6.07,6.07
8.0,0.22125,3,4.85,4.85,4.85
8.0,0.225,2,6.07,6.07,6.07
8.0,0.245,1,6.07,6.07,6.07
8.0,0.25,1,10.02,10.02,10.02
8.0,0.254375,2,5.2,5.2,5.2
8.0,0.265,7,5.2,5.2,5.2
8.0,0.28,1,6.42,6.42,6.42
8.0,0.309375,1,5.2,5.2,5.2
8.0,0.325,1,6.43,6.43,6.43
8.0,0.385,1,12.17,12.17,12.17
8.0,0.39,1,12.17,12.17,12.17
8.0,0.405,5,6.44,6.44,6.44
8.0,0.4175,1,5.2,5.2,5.2
8.0,0.450625,1,5.2,5.2,5.2
8.0,0.46125,6,5.2,5.2,5.2
8.0,0.48,2,6.44,6.44,6.44
8.0,0.595,1,7.48,7.48,7.48
8.0,0.6575,1,6.24,6.24,6.24
8.0,0.69,1,7.5,7.5,7.5
8.0,0.7425,1,6.24,6.24,6.24
8.0,1.05,2,20.29,20.29,20.29
8.0,1.23125,1,10.8,10.8,10.8
8.0,1.36,1,10.8,10.8,10.8
8.0,1.36375,4,10.8,10.8,10.8
8.0,1.408125,1,10.8,10.8,10.8
8.0,1.665,1,12.51,12.51,12.51
8.0,2.454375,1,10.8,10.8,10.8
8.0,4.51,1,38.3,38.3,38.3
8.0,6.81,1,18.64,18.64,18.64
