Shipping Label ID,Weight (lb),State,Label Cost,FirstMile_Cost,Savings,Savings_Pct
495110828,0.46125,NC,3.9,4.35,-0.44999999999999973,-11.5
495111564,0.069375,FL,3.87,3.32,0.5500000000000003,14.2
495111570,0.069375,CA,3.84,3.29,0.5499999999999998,14.3
495112056,0.058125,FL,3.86,3.24,0.6199999999999997,16.1
495112198,0.069375,SD,4.4,4.07,0.33000000000000007,7.5
495112428,0.058125,GA,3.85,3.24,0.6099999999999999,15.8
495112569,0.069375,TX,3.85,3.29,0.56,14.5
495112847,0.069375,CO,3.84,3.92,-0.08000000000000007,-2.1
495112929,0.069375,UT,4.39,3.87,0.5199999999999996,11.8
495113287,0.4575,CO,3.88,4.22,-0.33999999999999986,-8.8
495113690,0.265,MO,4.42,4.35,0.07000000000000028,1.6
495114229,0.069375,IL,4.4,3.32,1.0800000000000005,24.5
495115080,0.265,NC,3.88,4.35,-0.46999999999999975,-12.1
495115542,0.265,AL,4.43,4.35,0.08000000000000007,1.8
495115937,0.265,ID,4.41,4.22,0.1900000000000004,4.3
495116359,0.26125,OK,3.87,4.31,-0.4399999999999995,-11.4
495116772,0.069375,CA,3.84,3.29,0.5499999999999998,14.3
495117086,0.069375,CA,3.85,3.29,0.56,14.5
495117138,0.265,MO,4.42,4.35,0.07000000000000028,1.6
495117473,0.069375,CO,3.84,3.92,-0.08000000000000007,-2.1
495117649,0.4575,SC,3.9,4.35,-0.44999999999999973,-11.5
495117924,0.46125,OH,3.9,4.35,-0.44999999999999973,-11.5
495118730,0.22125,WA,3.86,3.39,0.46999999999999975,12.2
495119053,0.075,NC,4.42,4.07,0.34999999999999964,7.9
495120075,0.22125,NJ,3.88,3.45,0.4299999999999997,11.1
495120152,0.57125,KY,5.66,5.1,0.5600000000000005,9.9
495120691,0.26125,CT,3.89,4.35,-0.4599999999999995,-11.8
495121200,0.07375,WV,4.41,4.07,0.33999999999999986,7.7
495121693,0.265,KS,3.87,4.31,-0.4399999999999995,-11.4
495121790,0.125,CA,3.84,3.29,0.5499999999999998,14.3
495122283,0.135,CA,4.4,3.33,1.0700000000000003,24.3
495122614,0.135,NC,3.87,4.07,-0.20000000000000018,-5.2
495123149,0.78,CA,4.92,4.06,0.8600000000000003,17.5
495123729,0.075,NM,3.84,3.93,-0.0900000000000003,-2.3
495124361,0.22125,CA,4.4,3.39,1.0100000000000002,23.0
495124882,0.065,OK,3.85,4.02,-0.16999999999999948,-4.4
495125216,0.069375,OH,3.86,4.07,-0.2100000000000004,-5.4
495125501,0.058125,CT,3.86,4.07,-0.2100000000000004,-5.4
495125913,0.02,AZ,3.83,3.22,0.6099999999999999,15.9
495125993,0.069375,GA,3.86,3.32,0.54,14.0
495126534,0.1175,IA,4.4,4.07,0.33000000000000007,7.5
495126893,0.069375,OH,3.86,4.07,-0.2100000000000004,-5.4
495127480,0.02,IL,3.84,3.24,0.5999999999999996,15.6
495128425,1.36375,TX,6.74,5.55,1.1900000000000004,17.7
495128484,0.125,NH,4.42,4.07,0.34999999999999964,7.9
495128816,0.069375,UT,3.83,3.87,-0.040000000000000036,-1.0
495129005,0.069375,NH,4.42,4.07,0.34999999999999964,7.9
495129176,0.20375,WI,3.86,4.07,-0.2100000000000004,-5.4
495129416,0.069375,WA,4.4,3.29,1.1100000000000003,25.2
495129859,0.46125,VA,4.45,4.35,0.10000000000000053,2.2
495130104,0.53125,PA,5.1,5.1,0.0,0.0
495130403,0.46125,TX,3.89,3.61,0.28000000000000025,7.2
495130580,0.53125,VA,5.18,5.1,0.08000000000000007,1.5
495131179,0.75,WA,5.02,4.0,1.0199999999999996,20.3
495138267,0.135,WA,3.85,3.33,0.52,13.5
495139334,0.125,TX,3.85,3.29,0.56,14.5
495139964,0.265,NJ,3.89,3.52,0.3700000000000001,9.5
495140905,0.265,AL,4.43,4.35,0.08000000000000007,1.8
495141357,0.069375,TX,3.85,3.29,0.56,14.5
495142721,0.265,MO,3.87,4.35,-0.47999999999999954,-12.4
495143052,0.46125,TX,3.89,3.61,0.28000000000000025,7.2
495143665,0.069375,TX,3.85,3.29,0.56,14.5
495144018,0.065,CA,3.84,3.29,0.5499999999999998,14.3
495144236,0.46125,IA,4.44,4.35,0.09000000000000075,2.0
495144311,0.065,CA,3.84,3.29,0.5499999999999998,14.3
495144769,0.46125,CA,3.88,3.53,0.3500000000000001,9.0
495145770,1.395,MD,7.3,6.4,0.8999999999999995,12.3
495146207,0.065,FL,4.42,3.32,1.1,24.9
495146406,0.069375,MA,3.87,3.32,0.5500000000000003,14.2
495147404,0.135,FL,3.87,3.38,0.4900000000000002,12.7
495147660,0.450625,PA,4.46,4.35,0.11000000000000032,2.5
495147754,0.22125,UT,4.4,3.87,0.5300000000000002,12.0
495148043,0.075,PA,3.87,4.07,-0.20000000000000018,-5.2
495148092,0.025,OK,3.84,4.02,-0.17999999999999972,-4.7
495148442,0.069375,UT,4.38,3.87,0.5099999999999998,11.6
495148813,0.069375,NV,3.84,3.92,-0.08000000000000007,-2.1
495148918,0.025,NJ,3.86,3.24,0.6199999999999997,16.1
495149228,0.265,OR,4.42,4.24,0.17999999999999972,4.1
495149463,0.125,CA,3.84,3.29,0.5499999999999998,14.3
495149516,0.065,AR,4.4,4.07,0.33000000000000007,7.5
495149825,0.225,KY,3.87,4.07,-0.20000000000000018,-5.2
495150582,0.22125,OR,3.85,3.93,-0.08000000000000007,-2.1
495150680,0.48,OK,3.89,4.31,-0.4199999999999995,-10.8
495150907,0.22125,CT,3.88,4.07,-0.1900000000000004,-4.9
495151357,0.22125,CA,3.85,3.39,0.45999999999999996,11.9
495151717,0.225,WA,4.41,3.39,1.02,23.1
495151777,0.195,NY,4.43,3.45,0.9799999999999995,22.1
495152196,0.069375,CA,3.84,3.29,0.5499999999999998,14.3
495152478,0.57125,NV,4.71,4.86,-0.15000000000000036,-3.2
495152546,0.525,IL,5.61,4.06,1.5500000000000007,27.6
495157381,0.125,NY,4.42,3.32,1.1,24.9
495157784,0.125,VA,3.87,4.07,-0.20000000000000018,-5.2
495158301,0.135,NV,3.84,3.92,-0.08000000000000007,-2.1
495159051,0.53125,CA,4.86,3.9,0.9600000000000004,19.8
495159703,0.265,WA,3.87,3.44,0.43000000000000016,11.1
495164962,0.309375,TX,3.87,3.48,0.3900000000000001,10.1
495167657,0.16625,MI,3.85,4.07,-0.2200000000000002,-5.7
495167908,0.450625,,10.1,4.35,5.75,56.9
495168576,0.065,CO,3.84,3.92,-0.08000000000000007,-2.1
495169343,0.46125,GA,3.9,3.68,0.21999999999999975,5.6
495170483,0.46125,MI,4.45,4.35,0.10000000000000053,2.2
495171196,0.113125,FL,3.87,3.32,0.5500000000000003,14.2
495172160,0.49625,NE,3.89,4.31,-0.4199999999999995,-10.8
495172543,0.069375,WA,3.85,3.29,0.56,14.5
495172797,0.069375,AZ,3.84,3.27,0.5699999999999998,14.8
495172991,0.069375,UT,3.83,3.87,-0.040000000000000036,-1.0
495173415,0.069375,WI,3.85,4.07,-0.2200000000000002,-5.7
495173553,0.450625,SC,4.45,4.35,0.10000000000000053,2.2
495173853,0.065,CA,3.84,3.29,0.5499999999999998,14.3
495174085,0.46125,CA,3.88,3.53,0.3500000000000001,9.0
495174562,0.069375,NY,3.87,3.32,0.5500000000000003,14.2
495175085,0.069375,LA,3.85,4.07,-0.2200000000000002,-5.7
495175616,0.46125,CA,3.88,3.53,0.3500000000000001,9.0
495175688,0.069375,MT,4.39,3.93,0.4599999999999995,10.5
495176161,0.265,FL,3.88,3.52,0.3599999999999999,9.3
495176178,0.069375,NC,3.86,4.07,-0.2100000000000004,-5.4
495176660,0.265,PA,3.89,4.35,-0.4599999999999995,-11.8
495176761,0.069375,NV,3.84,3.92,-0.08000000000000007,-2.1
495177204,0.46125,TX,4.44,3.61,0.8300000000000005,18.7
495177588,0.46125,CA,3.88,3.53,0.3500000000000001,9.0
495181723,0.069375,WY,4.39,3.92,0.46999999999999975,10.7
495182100,0.058125,OK,3.84,4.02,-0.17999999999999972,-4.7
495182116,0.069375,TX,3.85,3.29,0.56,14.5
495182504,0.46125,AZ,3.88,3.46,0.41999999999999993,10.8
495182656,0.058125,DE,4.41,4.07,0.33999999999999986,7.7
495182980,0.265,TX,3.87,3.48,0.3900000000000001,10.1
495183017,0.069375,FL,4.42,3.32,1.1,24.9
495183357,0.46125,IA,4.44,4.35,0.09000000000000075,2.0
495183775,0.265,AZ,3.86,3.39,0.46999999999999975,12.2
495185096,1.20375,NE,6.04,5.94,0.09999999999999964,1.7
495185827,0.069375,CA,3.84,3.29,0.5499999999999998,14.3
