TransactionDate,OrginZip,DestZip,Weight,WeightUnit,ServiceDesc
9/25/2024,43125,20002,0.94,L,Mail Innovations
9/25/2024,43125,10583,0.88,L,Mail Innovations
9/25/2024,43125,11797,0.86,L,Mail Innovations
9/25/2024,43125,5401,0.48,L,Mail Innovations
9/25/2024,43125,97321,0.82,L,Mail Innovations
9/25/2024,43125,92886,0.42,L,Mail Innovations
9/25/2024,43125,83002,0.85,L,Mail Innovations
9/25/2024,43125,49251,0.44,L,Mail Innovations
9/25/2024,43125,45013,0.59,L,Mail Innovations
9/25/2024,43125,20785,0.56,L,Mail Innovations
9/25/2024,43125,28217,0.09,L,Mail Innovations
9/25/2024,43125,2062,0.53,L,Mail Innovations
9/25/2024,43125,19801,0.94,L,Mail Innovations
9/25/2024,43125,21797,0.56,L,Mail Innovations
9/25/2024,43125,32455,0.44,L,Mail Innovations
9/25/2024,43125,29708,0.7,L,Mail Innovations
9/25/2024,43125,91361,0.41,L,Mail Innovations
9/25/2024,43125,35671,0.71,L,Mail Innovations
9/25/2024,43125,10952,0.6,L,Mail Innovations
9/25/2024,43125,77320,0.95,L,Mail Innovations
9/25/2024,43125,53144,0.09,L,Mail Innovations
9/25/2024,43125,94704,0.42,L,Mail Innovations
9/25/2024,43125,11693,0.08,L,Mail Innovations
9/25/2024,43125,8055,0.08,L,Mail Innovations
9/25/2024,43125,77662,0.09,L,Mail Innovations
9/25/2024,43125,49464,0.97,L,Mail Innovations
9/25/2024,43125,84302,0.52,L,Mail Innovations
9/25/2024,43125,97333,0.43,L,Mail Innovations
9/25/2024,43125,55734,0.09,L,Mail Innovations
9/25/2024,43125,39327,0.43,L,Mail Innovations
9/25/2024,43125,32940,0.6,L,Mail Innovations
9/25/2024,43125,84404,0.51,L,Mail Innovations
9/25/2024,43125,91306,0.39,L,Mail Innovations
9/25/2024,43125,50320,0.42,L,Mail Innovations
9/25/2024,43125,92647,0.42,L,Mail Innovations
9/25/2024,43125,73104,0.09,L,Mail Innovations
9/25/2024,43125,31793,0.43,L,Mail Innovations
9/25/2024,43125,3570,0.48,L,Mail Innovations
9/25/2024,43125,95124,0.53,L,Mail Innovations
9/25/2024,43125,11741,0.49,L,Mail Innovations
9/25/2024,43125,92399,0.42,L,Mail Innovations
9/25/2024,43125,44203,0.53,L,Mail Innovations
9/25/2024,43125,10020,0.02,L,Mail Innovations
9/27/2024,43125,30501,0.42,L,Mail Innovations
9/27/2024,43125,61856,0.42,L,Mail Innovations
9/27/2024,43125,38028,0.72,L,Mail Innovations
9/27/2024,43125,49946,0.53,L,Mail Innovations
9/27/2024,43125,3038,0.6,L,Mail Innovations
9/27/2024,43125,64111,0.42,L,Mail Innovations
9/27/2024,43125,92109,0.41,L,Mail Innovations
9/27/2024,43125,83440,0.43,L,Mail Innovations
9/27/2024,43125,11207,0.42,L,Mail Innovations
9/27/2024,43125,92867,0.79,L,Mail Innovations
9/27/2024,43125,38563,0.08,L,Mail Innovations
9/27/2024,43125,8080,0.08,L,Mail Innovations
9/27/2024,43125,14261,0.08,L,Mail Innovations
9/27/2024,43125,11704,0.08,L,Mail Innovations
9/27/2024,43125,17268,0.08,L,Mail Innovations
9/27/2024,43125,2460,0.08,L,Mail Innovations
9/27/2024,43125,75633,0.84,L,Mail Innovations
